Nombre,Descripción
Sitio,http://localhost/DVWA-master/
IP,127.0.0.1
País,NA
Puertos,5
Servidor,Apache 2.4.46
CMS,Na NA
CVE,0
IOC,0
Cifrados Débiles,0
Vulnerabilidades,55
Posibles Vulnerabilidades,117
Explotación,0
