Tipo,Valor,IP,DNS Inverso,País
Txt,"google-site-verification:toEctYsulNIxgraKk7H3z58PCyz2IOCc36pIupEPmYQ",NA,NA,NA
Host,testphp.vulnweb.com,18.192.172.30,ec2-18-192-172-30.eu-central-1.compute.amazonaws.com,unknown
