Nombre,Descripción
Sitio,http://localhost/DVWA-master/
IP,127.0.0.1
País,NA
Puertos,6
Servidor,Apache
CMS,NA
CVE,0
Cifrados Débiles,0
Vulnerabilidades,56
Posibles Vulnerabilidades,89
Explotación,0
