Nombre,Descripción
Sitio,https://localhost/DVWA-master/index.php
IP,127.0.0.1
País,NA
Servidor,Apache
CMS,NA
CVE,0
Explotación,0
Vulnerabilidades,60
Posibles Vulnerabilidades,89
Cifrados,33
Puertos,6
