Tipo,Puerto,Protocolo,Servicio
Abiertos,80,tcp,Http
Abiertos,443,tcp,Https
Filtrados,21,tcp,Ftp
Filtrados,22,tcp,Ssh
Filtrados,23,tcp,Telnet
Filtrados,25,tcp,Smtp
Filtrados,110,tcp,Pop3
Filtrados,139,tcp,Netbios-ssn
Filtrados,445,tcp,Microsoft-ds
Filtrados,3389,tcp,Ms-wbt-server
