Tipo,Puerto,Protocolo,Servicio
Abiertos,80,tcp,Http
Abiertos,443,tcp,Https
Cerrados,21,tcp,Ftp
Cerrados,22,tcp,Ssh
Cerrados,23,tcp,Telnet
Cerrados,25,tcp,Smtp
Cerrados,110,tcp,Pop3
Cerrados,139,tcp,Netbios-ssn
Cerrados,445,tcp,Microsoft-ds
Cerrados,3389,tcp,Ms-wbt-server
