Nombre,Descripción
Sitio,http://localhost/DVWA-master/index.php
IP,127.0.0.1
País,NA
Servidor,Apache
CMS,NA
CVE,0
Explotación,0
Vulnerabilidades,0
Posibles Vulnerabilidades,0
Cifrados,0
Puertos,2
