Nombre,Descripción
Sitio,http://localhost/drupal7/
IP,127.0.0.1
País,NA
Puertos,7
Servidor,Apache
CMS,drupal
CVE,585
Cifrados Débiles,0
Vulnerabilidades,0
Posibles Vulnerabilidades,0
