Nombre,Descripción
Sitio,https://localhost/DVWA-master
IP,127.0.0.1
País,NA
Puertos,6
Servidor,Apache
CMS,NA
CVE,0
Cifrados Débiles,33
Vulnerabilidades,69
Posibles Vulnerabilidades,63
